,movie_name,movie_language,movie_genre
0,Thanni Vandi (U/A) - Tamil,TAMIL,U/A
1,Spider Man No Way Home (U/A) - Tamil,TAMIL,U/A
2,Pushpa (U/A) - Tamil,TAMIL,U/A
3,83 (U) - Tamil,TAMIL,U
4,Velan (U) - Tamil,TAMIL,U
5,Spider Man No Way Home (U/A) - Tamil 3D,TAMIL,U/A
6,Spider Man No Way Home (U/A) - English 3D,ENGLISH,U/A
7,Plan Panni Pannanum (U) - Tamil,TAMIL,U
8,83 (U) - Hindi,HINDI,U
9,Pen Vilai Verum 999 Rubai Mattume - Tamil,TAMIL,TBA
10,Writer (U/A) - Tamil,TAMIL,U/A
11,Theerpukal Virkkapadum - Tamil ,TAMIL,U/A
12,Rocky (A) - Tamil,TAMIL,A
13,Kattupura (U/A) - Tamil,TAMIL,U/A
14,Sri Jagannatha Daasaru (U) - Kannada ,KANNADA,U
15,Pushpa (U/A) - Telugu,TELUGU,U/A
16,83 (U) - Tamil 3D,TAMIL,U
17,83 (U) - Hindi 3D,HINDI,U
18,Shyam Singha Roy (U/A) - Telugu ,TELUGU,U/A
19,Maanaadu (U/A) -Tamil ,TAMIL,U/A
20,Tamil Rockers (U/A) - Tamil ,TAMIL,U/A
21,Meendum (U/A) - Tamil,TAMIL,U/A
22,Adangamai - Tamil,TAMIL,TBA
23,Idarinum Thalarinum - Tamil,TAMIL,TBA
24,SING 2 (U) - English 3D,ENGLISH,U
25,Sakkarai Thookkalai Oru Punnagai - Tamil ,TAMIL,TBA
26,Spider Man No Way Home (U/A) - English ,ENGLISH,U/A
27,Chillatta -Tamil,TAMIL,TBA
28,Doctor (U/A) - Tamil,TAMIL,U/A
29,Onaan - Tamil,TAMIL,TBA
30,Thalli Pogathey (U/A) - Tamil,TAMIL,U/A
31,Anandham Vilayadum Veedu (U) - Tamil,TAMIL,U
32,Obama Ungalukaga (U) - Tamil,TAMIL,U
33,Kunjeldho - Malayalam ,MALAYALAM,U
34,Ajagajantharam (U/A) - Malayalam,MALAYALAM,U/A
35,1945 (U) - Telugu,TELUGU,U
36,Madurai Manikuravar (U) - Tamil ,TAMIL,TBA
37,Encanto (U) (3D) - English,ENGLISH,U
38,Bachelor (A) - Tamil,TAMIL,A
39,The Matrix Resurrections (U/A) - English,ENGLISH,U/A
40,Pen Vilai Verum 999 Rubai Mattume,TAMIL,TBA
41,Adangamai,TAMIL,TBA
42,Pen Vilai Verum 999 Rubai Mattume,TAMIL,TBA
43, RRR,TAMIL,TBA
44,Idarinum Thalarinum,TAMIL,TBA
45,Valimai - Tamil,TAMIL,U/A
46,Rattham Ranam Rowthiram,TAMIL,TBA
47,1945,TAMIL,U
48,RRR,TAMIL,TBA
49,RRR,HINDI,TBA
50,RRR,HINDI,TBA
51,RRR,TELUGU,TBA
52,1945,TELUGU,U
53,Atithi Devobhava,TELUGU,U/A
54,RRR,MALAYALAM,TBA
55,Super Sharanya,MALAYALAM,U
56,Randu,MALAYALAM,TBA
57,Station 5,MALAYALAM,TBA
58,Inspector Vikram,MALAYALAM,TBA
59,Salute,MALAYALAM,U/A
60,RRR,KANNADA,TBA
